player_name,team_abbreviation,age,player_height_cm,player_weight_kg,college,country_born_in,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
Joe Johnson,BOS,41,200.66,108.86208,1,1,2001,1,10,1,2,0,0,-100,0,0,0.2,1,0
LeBron James,LAL,37,205.74,113.398,0,1,2003,1,1,56,30.3,8.2,6.2,-2.5,0.031,0.185,0.317,0.619,0.297
Carmelo Anthony,LAL,38,200.66,107.954896,1,1,2003,1,3,69,13.3,4.2,1,-2.9,0.034,0.116,0.195,0.579,0.056
Andre Iguodala,GSW,38,198.12,97.52228,1,1,2004,1,9,31,4,3.2,3.7,8.7,0.035,0.117,0.113,0.478,0.263
Dwight Howard,LAL,36,208.28,120.20188,0,1,2004,1,1,60,6.2,5.9,0.6,-5.7,0.12,0.246,0.145,0.657,0.049
Trevor Ariza,LAL,37,203.2,97.52228,1,1,2004,2,43,24,4,3.4,1.1,-5.3,0.02,0.151,0.11,0.449,0.079
Lou Williams,ATL,35,187.96,79.3786,0,1,2005,2,45,56,6.3,1.6,1.9,0.8,0.02,0.084,0.215,0.5,0.196
CJ Miles,BOS,35,198.12,99.79024,0,1,2005,2,34,1,0,0,0,-100,0,0,0,0,0
Chris Paul,PHX,37,182.88,79.3786,1,1,2005,1,4,65,14.7,4.4,10.8,10,0.011,0.113,0.197,0.581,0.434
LaMarcus Aldridge,BKN,36,210.82,113.398,1,1,2006,1,2,47,12.9,5.5,0.9,0.1,0.071,0.16,0.219,0.604,0.062
Rajon Rondo,CLE,36,185.42,81.64656,1,1,2006,1,21,39,4.8,2.8,4.4,-7.8,0.02,0.118,0.152,0.496,0.366
Kyle Lowry,MIA,36,182.88,88.904032,1,1,2006,1,24,63,13.4,4.5,7.5,5.9,0.016,0.116,0.178,0.6,0.321
P.J. Tucker,MIA,37,195.58,111.13004,1,1,2006,2,35,71,7.6,5.5,2.1,6.2,0.052,0.146,0.116,0.593,0.107
Paul Millsap,PHI,37,200.66,116.573144,1,1,2006,2,47,33,3.5,3.5,0.9,-3.5,0.096,0.182,0.158,0.458,0.121
Rudy Gay,UTA,35,203.2,113.398,1,1,2006,1,8,55,8.1,4.4,1,8.7,0.05,0.166,0.185,0.539,0.078
Kevin Durant,BKN,33,208.28,108.86208,1,1,2007,1,2,55,29.9,7.4,6.4,6.5,0.015,0.166,0.31,0.634,0.274
Al Horford,BOS,36,205.74,108.86208,1,0,2007,1,3,69,10.2,7.7,3.4,9.3,0.054,0.201,0.147,0.574,0.159
Jeff Green,DEN,35,203.2,106.59412,1,1,2007,1,5,75,10.3,3.1,1.3,1.8,0.024,0.1,0.16,0.627,0.071
Thaddeus Young,TOR,34,203.2,106.59412,1,1,2007,1,12,52,6.2,4,2,-0.2,0.088,0.152,0.169,0.548,0.177
Mike Conley,UTA,34,185.42,79.3786,1,1,2007,1,4,72,13.7,3,5.3,7.7,0.023,0.079,0.202,0.572,0.281
Danilo Gallinari,ATL,33,208.28,107.047712,0,0,2008,1,6,66,11.7,4.7,1.5,3.4,0.021,0.161,0.182,0.579,0.086
Goran Dragic,BKN,36,190.5,86.18248,0,0,2008,2,45,21,7.5,3.1,4.1,0.4,0.027,0.104,0.166,0.474,0.227
Kevin Love,CLE,33,203.2,113.851592,1,1,2008,1,5,74,13.6,7.2,2.2,1.5,0.051,0.258,0.239,0.594,0.153
Eric Gordon,HOU,33,190.5,97.52228,1,1,2008,1,7,57,13.4,2,2.7,-5.1,0.009,0.056,0.182,0.614,0.137
Nicolas Batum,LAC,33,203.2,104.32616,0,0,2008,1,25,59,8.3,4.3,1.7,-4.4,0.019,0.146,0.13,0.608,0.099
Russell Westbrook,LAL,33,190.5,90.7184,1,1,2008,1,4,78,18.5,7.4,7.1,-4,0.039,0.165,0.264,0.512,0.311
D.J. Augustin,LAL,34,180.34,83.007336,1,1,2008,1,9,55,5.3,1.2,1.9,-10.6,0.012,0.065,0.139,0.61,0.176
Brook Lopez,MIL,34,213.36,127.912944,1,1,2008,1,10,13,12.4,4.1,0.5,-1.4,0.058,0.108,0.211,0.57,0.03
Serge Ibaka,MIL,32,208.28,106.59412,0,0,2008,1,24,54,6.8,4.6,0.9,-3,0.07,0.197,0.172,0.579,0.084
George Hill,MIL,36,193.04,85.275296,1,1,2008,1,26,54,6.2,2.9,2.2,11.7,0.029,0.084,0.115,0.552,0.124
Derrick Rose,NYK,33,187.96,90.7184,1,1,2008,1,1,26,12,3,4,5.8,0.032,0.08,0.217,0.541,0.266
Robin Lopez,ORL,34,213.36,127.459352,1,1,2008,1,15,36,7.1,3.5,1.5,-6.4,0.098,0.089,0.182,0.57,0.142
DeAndre Jordan,PHI,33,210.82,120.20188,1,1,2008,2,35,48,4.3,5.5,0.4,-10.8,0.127,0.262,0.132,0.641,0.051
JaVale McGee,PHX,34,213.36,122.46984,1,1,2008,1,18,74,9.2,6.7,0.6,5.8,0.134,0.266,0.214,0.651,0.055
Blake Griffin,BKN,33,205.74,113.398,1,1,2009,1,1,56,6.4,4.1,1.9,-4.7,0.061,0.169,0.167,0.518,0.157
James Johnson,BKN,35,200.66,108.86208,1,1,2009,1,16,62,5.5,3.5,2.1,-1.6,0.041,0.127,0.136,0.513,0.153
Patty Mills,BKN,33,182.88,81.64656,1,0,2009,2,55,81,11.4,1.9,2.3,1.5,0.008,0.055,0.16,0.563,0.106
DeMar DeRozan,CHI,32,198.12,99.79024,1,1,2009,1,9,76,27.9,5.2,4.9,1.1,0.021,0.122,0.308,0.59,0.228
Stephen Curry,GSW,34,187.96,83.91452,1,1,2009,1,7,64,25.5,5.2,6.3,10.7,0.015,0.126,0.293,0.601,0.286
Ricky Rubio,IND,31,187.96,86.18248,0,0,2009,1,5,34,13.1,4.1,6.6,9.1,0.015,0.122,0.234,0.488,0.348
Darren Collison,LAL,34,182.88,72.57472,1,1,2009,1,21,3,1.3,1.3,0.7,-18.4,0,0.091,0.077,0.286,0.063
Wayne Ellington,LAL,34,193.04,93.893544,1,1,2009,1,28,43,6.7,1.8,0.7,-3.8,0.012,0.078,0.135,0.593,0.055
Jrue Holiday,MIL,32,190.5,92.98636,1,1,2009,1,17,67,18.3,4.5,6.8,8.5,0.031,0.1,0.231,0.593,0.297
Patrick Beverley,MIN,33,185.42,81.64656,1,1,2009,2,42,58,9.2,4.1,4.6,3.7,0.038,0.119,0.158,0.539,0.249
Taj Gibson,NYK,37,205.74,105.233344,1,1,2009,1,26,52,4.4,4.4,0.6,3.3,0.088,0.139,0.099,0.606,0.05
James Harden,PHI,32,195.58,99.79024,1,1,2009,1,3,65,22,7.7,10.3,3.5,0.024,0.176,0.266,0.583,0.401
Danny Green,PHI,35,198.12,97.52228,1,1,2009,2,46,62,5.9,2.5,1,3,0.025,0.091,0.121,0.561,0.065
Gordon Hayward,CHA,32,200.66,102.0582,1,1,2010,1,9,49,15.9,4.6,3.6,-0.4,0.022,0.114,0.202,0.57,0.16
Ed Davis,CLE,33,205.74,98.883056,1,1,2010,1,13,31,0.9,2.1,0.2,4.6,0.072,0.23,0.062,0.632,0.053
DeMarcus Cousins,DEN,31,208.28,122.46984,1,1,2010,1,5,48,9,5.6,1.5,2.2,0.103,0.281,0.267,0.567,0.153
Nemanja Bjelica,GSW,34,205.74,106.140528,0,0,2010,2,35,71,6.1,4.1,2.2,5.2,0.055,0.187,0.175,0.573,0.204
Lance Stephenson,IND,31,195.58,95.25432,1,1,2010,2,40,46,8.3,2.8,3.6,-7,0.014,0.149,0.219,0.536,0.298
Paul George,LAC,32,203.2,99.79024,1,1,2010,1,10,31,24.3,6.9,5.7,4.2,0.011,0.171,0.329,0.538,0.286
Avery Bradley,LAL,31,190.5,81.64656,1,1,2010,1,19,62,6.4,2.2,0.8,-5.8,0.021,0.073,0.119,0.55,0.046
Greg Monroe,MIN,32,208.28,113.398,1,1,2010,1,7,14,5.4,4.6,1.6,0.9,0.141,0.176,0.164,0.566,0.162
Derrick Favors,OKC,30,205.74,120.20188,1,1,2010,1,3,39,5.3,4.7,0.6,-11,0.079,0.178,0.131,0.534,0.061
Eric Bledsoe,POR,32,185.42,97.068688,1,1,2010,1,18,54,9.9,3.4,4.2,-1.2,0.02,0.105,0.198,0.514,0.251
Hassan Whiteside,UTA,33,213.36,120.20188,1,1,2010,2,33,65,8.2,7.6,0.4,10.1,0.142,0.275,0.164,0.662,0.031
Kyrie Irving,BKN,30,187.96,88.45044,1,0,2011,1,1,29,27.4,4.4,5.8,5.2,0.015,0.096,0.283,0.592,0.235
Enes Freedom,BOS,30,208.28,113.398,0,0,2011,1,3,35,3.7,4.6,0.2,7.8,0.143,0.219,0.129,0.585,0.027
Isaiah Thomas,CHA,33,175.26,83.91452,1,1,2011,2,60,22,8.4,1.3,1.5,-1.3,0.012,0.071,0.245,0.516,0.155
Tristan Thompson,CHI,31,205.74,115.212368,1,0,2011,1,4,57,6,5.1,0.6,-3.6,0.125,0.196,0.168,0.541,0.054
Nikola Vucevic,CHI,31,208.28,117.93392,1,0,2011,1,16,73,17.6,11,3.2,-1.6,0.06,0.274,0.244,0.533,0.153
Brandon Knight,DAL,30,187.96,82.553744,1,1,2011,1,8,5,6.4,1.6,1.6,-3.6,0,0.098,0.216,0.561,0.2
Davis Bertans,DAL,29,208.28,102.0582,0,0,2011,2,42,56,5.6,2.1,0.6,1,0.014,0.127,0.165,0.531,0.054
